year,selling_price,km_driven,fuel_type,seller_type,transmission
2012,68000,52643,Diesel,Individual,Manual
2020,731000,11056,Diesel,Individual,Manual
2019,687000,18323,Diesel,Individual,Automatic
2016,141000,108231,Petrol,Individual,Manual
2016,454000,22814,Diesel,Individual,Manual
2021,763000,27580,Diesel,Individual,Manual
2012,60000,100922,Petrol,Individual,Manual
2019,535000,127626,Diesel,Dealer,Manual
2014,320000,25710,Diesel,Individual,Manual
2013,178000,45793,Petrol,Individual,Manual
2017,351000,63538,Diesel,Individual,Manual
2022,542000,98217,Petrol,Individual,Manual
2020,778000,30328,Diesel,Dealer,Manual
2020,557000,48868,CNG,Trustmark Dealer,Manual
2019,504000,74433,Petrol,Trustmark Dealer,Automatic
2020,603000,65869,Diesel,Individual,Manual
2017,404000,45596,Petrol,Individual,Manual
2013,217000,51654,Diesel,Individual,Automatic
2021,751000,20627,Diesel,Individual,Manual
2016,411000,49045,Petrol,Individual,Manual
2017,355000,48340,Petrol,Dealer,Manual
2016,228000,60804,Petrol,Individual,Manual
2014,281000,41116,Petrol,Individual,Manual
2022,808000,66788,Petrol,Individual,Automatic
2020,491000,80317,Petrol,Individual,Manual
2019,416000,58885,Petrol,Individual,Manual
2016,260000,63793,Petrol,Individual,Manual
2021,688000,56328,Diesel,Dealer,Manual
2017,504000,55002,Diesel,Individual,Manual
2016,346000,36961,Diesel,Individual,Manual
2016,302000,62912,Petrol,Individual,Manual
2014,285000,52567,Diesel,Dealer,Manual
2013,60000,107329,Diesel,Individual,Manual
2018,429000,94333,Petrol,Dealer,Manual
2021,557000,64646,Petrol,Trustmark Dealer,Manual
2012,171000,35923,Diesel,Individual,Manual
2021,725000,27189,Petrol,Dealer,Manual
2021,694000,84778,Diesel,Individual,Manual
2015,293000,61568,CNG,Trustmark Dealer,Manual
2018,285000,67003,Petrol,Individual,Manual
2013,178000,11385,Petrol,Trustmark Dealer,Manual
2020,556000,78185,CNG,Individual,Manual
2019,527000,66360,Diesel,Individual,Manual
2015,439000,27239,Petrol,Individual,Automatic
2012,182000,43211,Diesel,Dealer,Manual
2022,781000,61592,Diesel,Individual,Manual
2016,353000,56311,Diesel,Individual,Manual
2021,599000,47695,Diesel,Dealer,Manual
2019,497000,52412,Petrol,Dealer,Manual
2020,713000,48700,Petrol,Individual,Automatic
2020,555000,58814,Diesel,Individual,Manual
2014,151000,91787,Petrol,Individual,Manual
2016,534000,5000,Diesel,Dealer,Manual
2017,455000,49078,Diesel,Individual,Manual
2017,195000,59412,Petrol,Dealer,Manual
2012,60000,62399,Diesel,Individual,Manual
2018,588000,45702,Petrol,Individual,Manual
2013,328000,11081,Diesel,Individual,Automatic
2020,447000,63199,Petrol,Individual,Manual
2019,543000,98183,Diesel,Dealer,Manual
2022,934000,16653,Diesel,Individual,Automatic
2020,603000,76595,Petrol,Individual,Manual
2016,404000,46786,Diesel,Trustmark Dealer,Manual
2022,790000,53466,Diesel,Trustmark Dealer,Manual
2016,449000,28677,Diesel,Dealer,Manual
2015,364000,46638,Diesel,Individual,Manual
2021,729000,87501,CNG,Individual,Manual
2016,350000,69566,Petrol,Dealer,Manual
2012,60000,98307,Diesel,Individual,Manual
2017,351000,84435,Petrol,Individual,Manual
2020,673000,65977,Diesel,Dealer,Manual
2014,215000,98598,Diesel,Individual,Manual
2017,429000,65974,Petrol,Individual,Automatic
2013,153000,75699,Petrol,Trustmark Dealer,Manual
2019,636000,47585,Diesel,Individual,Manual
2017,540000,56663,Petrol,Individual,Manual
2015,297000,37564,Diesel,Individual,Manual
2014,109000,79739,Petrol,Individual,Manual
2018,515000,25542,CNG,Individual,Manual
2019,447000,74558,Petrol,Dealer,Manual
2022,761000,50233,Petrol,Dealer,Automatic
2016,139000,84281,Diesel,Individual,Manual
2013,107000,73771,Diesel,Individual,Manual
2021,661000,100516,Petrol,Dealer,Automatic
2018,474000,73269,Petrol,Individual,Automatic
2019,767000,15698,Diesel,Individual,Manual
2013,178000,53326,Diesel,Individual,Manual
2015,401000,25699,Petrol,Dealer,Manual
2020,673000,42043,Diesel,Individual,Manual
2021,660000,92780,Diesel,Dealer,Manual
2016,441000,70938,Diesel,Individual,Automatic
2020,840000,37526,Diesel,Individual,Automatic
2021,753000,29657,Diesel,Individual,Manual
2016,352000,55819,Petrol,Individual,Manual
2021,873000,24585,Diesel,Individual,Automatic
2015,414000,38221,Diesel,Individual,Automatic
2014,246000,62800,Diesel,Individual,Manual
2019,590000,83882,Petrol,Individual,Manual
2019,559000,70219,Petrol,Individual,Automatic
2013,309000,5000,Diesel,Individual,Manual
2021,708000,62609,Petrol,Trustmark Dealer,Manual
2014,363000,56800,CNG,Individual,Automatic
2020,652000,65347,Petrol,Dealer,Automatic
2012,60000,95405,Diesel,Trustmark Dealer,Automatic
2020,770000,5000,Diesel,Individual,Manual
2020,483000,40222,Petrol,Dealer,Manual
2020,640000,69772,Petrol,Dealer,Manual
2019,661000,15460,Diesel,Dealer,Manual
2017,413000,91898,Diesel,Individual,Manual
2019,445000,64208,Petrol,Individual,Manual
2015,164000,76164,Diesel,Individual,Manual
2020,676000,40726,Diesel,Individual,Manual
2018,407000,75344,Petrol,Trustmark Dealer,Manual
2017,301000,81711,Petrol,Trustmark Dealer,Manual
2017,381000,60821,Petrol,Individual,Manual
2018,607000,60860,Petrol,Dealer,Manual
2012,99000,61758,Petrol,Individual,Manual
2013,329000,33416,Petrol,Trustmark Dealer,Automatic
2014,298000,51311,Diesel,Individual,Manual
2013,226000,51186,Petrol,Trustmark Dealer,Manual
2016,307000,64584,CNG,Dealer,Manual
2019,341000,79995,Petrol,Individual,Manual
2019,566000,28536,Petrol,Individual,Manual
2017,490000,51874,Diesel,Dealer,Manual
2021,554000,92036,Diesel,Individual,Manual
2018,484000,36410,Petrol,Individual,Manual
2012,68000,34443,Petrol,Trustmark Dealer,Manual
2020,663000,60057,Petrol,Individual,Manual
2018,498000,76109,Diesel,Individual,Manual
2018,492000,55285,Petrol,Individual,Manual
2018,418000,88224,Petrol,Individual,Manual
2018,495000,76419,Petrol,Trustmark Dealer,Automatic
2012,75000,76045,Diesel,Individual,Manual
2018,367000,68852,CNG,Individual,Manual
2020,370000,113191,Diesel,Individual,Manual
2015,324000,49870,Diesel,Trustmark Dealer,Manual
2018,583000,5000,Petrol,Individual,Manual
2012,60000,95106,Petrol,Dealer,Manual
2015,468000,43557,Petrol,Dealer,Automatic
2016,457000,57697,Diesel,Dealer,Manual
2022,627000,87738,Diesel,Trustmark Dealer,Manual
2014,396000,14943,Diesel,Dealer,Automatic
2015,372000,23708,CNG,Trustmark Dealer,Manual
2016,579000,14968,CNG,Individual,Manual
2022,861000,35146,CNG,Dealer,Manual
2021,692000,65990,Petrol,Individual,Manual
2012,60000,68104,Petrol,Individual,Manual
2014,126000,61906,Petrol,Dealer,Manual
2021,909000,19680,Diesel,Trustmark Dealer,Automatic
2012,108000,5000,Petrol,Dealer,Manual
2021,677000,56358,Diesel,Individual,Manual
2015,323000,43205,Diesel,Individual,Manual
2022,829000,66484,Diesel,Individual,Manual
2015,199000,72548,Petrol,Individual,Manual
2016,170000,58456,Petrol,Individual,Manual
2019,507000,74003,Petrol,Individual,Manual
2013,119000,60730,Diesel,Individual,Manual
2018,472000,68251,Diesel,Dealer,Manual
2017,468000,37383,Diesel,Individual,Manual
2020,577000,50509,Petrol,Trustmark Dealer,Manual
2022,751000,59919,Petrol,Individual,Manual
2019,382000,75513,Petrol,Individual,Manual
2016,360000,45156,Diesel,Individual,Manual
2016,381000,68029,Diesel,Individual,Manual
2016,302000,48354,Petrol,Trustmark Dealer,Manual
2020,539000,52061,Diesel,Individual,Manual
2015,253000,75737,Petrol,Individual,Manual
2013,351000,5173,Diesel,Trustmark Dealer,Manual
2015,328000,22588,Petrol,Trustmark Dealer,Manual
2012,60000,17945,Petrol,Individual,Manual
2013,326000,5000,Diesel,Individual,Manual
2012,60000,38043,Petrol,Individual,Manual
2020,561000,73735,Petrol,Individual,Manual
2019,571000,47877,Petrol,Individual,Automatic
2019,529000,59944,Petrol,Individual,Automatic
